Line_Number	user	fake_username	timeCode	content	reply	contentSimp
0	88a51	Anna Tucker	March 25, 2013, 01:29:30 PM	The health care system should finance more money the people who are less healthy and ill or have some sort of disease and not as much to the people who are regularly healthy	-1	health care system finance money people healthy sort disease people regularly healthy
1	88a51	Anna Tucker	March 25, 2013, 01:36:48 PM	with the exception of the elderly and the youth	0	exception elderly youth
2	88a51	Anna Tucker	March 25, 2013, 01:39:45 PM	Every health insurance in America should provide 2 to 3 free clinical check ups for a family of 3 or more, and 1 to 2 for single households.	-1	health insurance america provide 2 3 free clinical check ups family 3 more, 1 2 single households.
3	88a51	Anna Tucker	March 25, 2013, 01:51:51 PM	medicare/medicaid should be equal people of all income but at the same time affordable	-1	medicare/medicaid equal people income time affordable
4	8a52	Madison Ferguson	March 25, 2013, 03:17:34 PM	Insurance companies should make the co-payments based upon yearly household income.	-1	insurance companies make co-payments based yearly household income.
5	8a52	Madison Ferguson	March 25, 2013, 03:18:26 PM	This will help with people actually staying current on their health.	3	people staying current health.
6	8a52	Madison Ferguson	March 25, 2013, 03:19:32 PM	"Medicare/Medicaid should get a ""flex card"" with so much money on it yearly so that will be able to pay for at least their prescriptions."	-1	"medicare/medicaid ""flex card"" money yearly pay prescriptions."
7	8a52	Madison Ferguson	March 25, 2013, 03:21:47 PM	When prescribed drugs the doctor should have a bar code to scan so you can get them refilled more conveniently when you want to get the prescription filled at the drug store. This way the pharmacist can monitor what drugs you are getting and how much.	-1	prescribed drugs doctor bar code scan refilled conveniently prescription filled drug store. pharmacist monitor drugs much.
8	8a52	Madison Ferguson	March 25, 2013, 03:23:36 PM	Physicians should evaluate and give tips to people who say they are having problems with certain issues before just automatically diagnose them with some disease that causes them to have to take medicine that they can become dependent on and start to abuse.	-1	physicians evaluate give tips people problems issues automatically diagnose disease medicine dependent start abuse.
9	8a52	Madison Ferguson	March 25, 2013, 03:24:48 PM	People with chronic illnesses should have specialists with reasonable prices so physicians can monitor their health more efficiently.	-1	people chronic illnesses specialists reasonable prices physicians monitor health efficiently.
10	8a52	Madison Ferguson	March 25, 2013, 03:25:42 PM	All doctors and physicians should have a small pharmacist that will be convenient for the patient to get their prescriptions refilled.	-1	doctors physicians small pharmacist convenient patient prescriptions refilled.
11	8a52	Madison Ferguson	March 25, 2013, 03:26:55 PM	Physicians need to go to seminars and small courses to stay current on new things in the health world and what type of diseases have been detected lately so that less misdiagnosing occurs.	-1	physicians seminars small courses stay current things health world type diseases detected misdiagnosing occurs.
12	8a52	Madison Ferguson	March 25, 2013, 03:30:22 PM	Emergency room visits should be less expensive. And pharmacies should have a small in and out clinics with reasonable prices for emergencies less severe than hospital attention for anyone with or without insurance.	-1	emergency room visits expensive. pharmacies small clinics reasonable prices emergencies severe hospital attention insurance.
13	8a52	Madison Ferguson	March 25, 2013, 03:32:49 PM	Nursing homes should be covered by Medicare since some elderly do not have family that can afford it but need their loved ones to be monitored.	-1	nursing homes covered medicare elderly family afford loved monitored.
14	8a52	Madison Ferguson	March 25, 2013, 03:35:13 PM	The government could pull out all money going into the healthcare system and the country would just have to build itself back up by people helping each other out.	-1	government pull money healthcare system country build back people helping out.
15	8a52	Madison Ferguson	March 25, 2013, 03:36:11 PM	People with chronic illnesses should seek the medical attention that they need no matter the financial situation.	-1	people chronic illnesses seek medical attention matter financial situation.
16	8a52	Madison Ferguson	March 25, 2013, 03:38:27 PM	All drugs should have a generic brand offered so people won't have to pay so much for the medicines that they need.	-1	drugs generic brand offered people won't pay medicines need.
17	8a52	Madison Ferguson	March 25, 2013, 03:39:27 PM	Birth control should be free so that pregnancies will decrease and Medicaid won't have to provide for that person and the unborn child as well. 	-1	birth control free pregnancies decrease medicaid won't provide person unborn child well. 
