Line_Number,Dominant_Topic_Number,Sentences,Keywords_In_Dominant_Topic
2432,0,"Inventing a way to snowboard on different types of surfaces would be different. Tennis involves different surfaces during different games, such as clay, hard court, grass, ect.","place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
2509,0,"like, the ball is still, and you'd.... arrange the pieces of the field so that the balll was in the place you wanted it to be to win.","place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
2504,0,"or a test of skiill with you fingers, like finger dexterity. you'd grip some object made from the sport, where you could adjust the tesntions, and see if you could bend it.","place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
2503,0,maybe a sport that tests finger strength,"place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
2476,0,"The obstacle course would involve pits (full of shaving cream, water, mud, etc.) in between the trampolines. The player would have to jump between the trampolines of varying distances or patterns. If the player falls in the pit, they will have to start the course over again.","place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
2473,0,"I was thinking there could be a sport involving mud as the playing surface. It could be for volleyball, tennis or badminton.","place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
1922,0,Activity 2: Activity where a group of people versus another group of people use a climbing wall to gather as many flags as they can on the climbing wall.,"place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
563,0,"Sports are fast-paced so it has to involve little brain activity or even rely solely on muscle memory so something involving legs or arms, something that is almost natural for us to do","place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
1007,0,Stealth tactics and physical activity with strength will be used in order to deliver the beacon to the other teams outpost,"place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
985,0,"players will be placed in an area similar to the one in hunger games. the players will have to hunt each other down using survival techniques, except they will not really die. they would just be terminated from the game if they are caught or shot with a fake gun or arrow.","place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
1563,0,For the tricks category there are professional judges of this sport deciding whose tricks were the most challenging,"place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
2413,0,"This could be a special edition of the animal olympics listed above. Much like the animal olympics, there needs to be categories since some types of farm animal are naturally more athletic than other types of farm animals.","place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
2412,0,There should be categories for animals because some types of animals are just naturally faster and more athletic than other animals.,"place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
979,0,"Probably a bad idea, but MMA fighting in an underwater arena. Obviously breathing will be an issue. Otherwise, this could just be normal MMA except in a place with walls, places to climb, etc.","place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
614,0,"3D structure - make this an obstacle course where you have to adhere to climb up, around, slide down, etc.","place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
1266,0,using dog(s) to lead you while you are on unicycle,"place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
2391,0,"Raising in the dark, to test the sense of your surroundings, and your ability to visualize, without seeing.","place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
1332,0,%Have a set of 10 cups and each cup add something disgusting like head band sweat or a bug/fish,"place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
1984,0,"Each car could be equipped with non lethal weapons , and targets that once hit on an opposing car would disable a feature of the car's defense system, and once each car is completely disarmed that car is out.","place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
1994,0,A climbing sport where the first person to climb a rock wall or an equivalent of the rock wall would then run on top of the wall press a button and climb back down a wall on a side opposite where they came from and press another button. It would be a race.,"place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
1337,0,"Trunk toss: 2 opponents, who can throw a tree trunk the furthest.","place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
946,0,"*=- Undercover working in retail, find as many terrible customers and severely injure them","place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
1340,0,tree jumping - the athlete has to jump from tree to tree where the heights of the trees are all around 10 feet or more depending on how daring the players want to be. They have to be timed in doing this and whoever has the best time wins. You will be out automatically if you fall or climb down from the trees instead of jumping. The athlete also runs the risk of being seriously injured or dying.,"place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
1526,0,It is said that that will loosen up the team players muscles and relax them and ease their tensions.,"place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
928,0,- Running a 5k or other strenuous physical activity after eating Chipotle,"place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
2015,0,"Extreme laundry folding. It's done in extreme conditions like cold or hot or performing an extremely physical task. Each person is given a basket of laundry to fold. The first person to finish correctly folding there basket of laundry and to climb there moutain, finish a marathon, kiake down a river, ect. Wins!","place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
2326,0,underwater swimming races in a place with a high tropical fish population- adds obstacles :),"place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
2026,0,Find a letter in an unknown place. Have a group of people come together and solve riddles to find their letter. They are not provided with transportation means. All participants are put in a camp where they will have to come back to at the end of the day.,"place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
2033,0,Maybe add hanging close too! A folding basket and a folding basket would make a better game we can eve add ironing dressy shirts and pants and at the end who ever climbs the mountain carying what they hang and folded win!,"place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
702,0,"Computer sport where we see who is the best computer-er ever. See if they can find any type of info. see how long they can stay on one computer for, see how many computers they can use at once. just overall to see who is the best at computers.","place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
2041,0,"We could give them limited use of utensils, say a pan and a pot for heat related dishes, but that would be all.","place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
1541,0,"Using a trampoline, do different tricks kind of like gymnastics, the better or higher the trick the more points & closer to winning","place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
1851,0,"the player could wear vests that have sensors placed whithin them, and whenever the player is ""tagged"" they will lose life points? and they have to find those life boxes that someone put earlier for more life, or they will run out and ""die"" figuratively speaking.","place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
2866,0,A sport for the blind would be a good idea. For example a sport that contains frizzbies would be a good one. I blind person with a seeing eye dog could participate in this sport. A blind person could throw a frizzbie to his or her's dog and the dog will catch it. The dogs will have to do some type of trick before or after catching the frizzbie. There would be around 4 judges watching the technique the owner uses and the performance the dog gives. Points would be given to each team. The dog and owner with the most amount of points wins.,"place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
1628,0,Internalize some physical activities in E-sports just like Wii games.,"place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
331,0,"The sheet music can be given in any category of musical instrument, so in order to have a fair chance of winning the competition, competitors must have thorough knowledge of most instruments.","place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
2694,0,"Or the new sport could include a series of tests. e.g balance, strength, endurance, etc. And you must finish in a certain percentage in each of these categories in order to move on to the next test.","place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
2665,0,Or the new sport could be just an individual sport and be some type of endurance race in which athletes begin on one boarder of a state and have to make it to the opposite boarder of that state. They have to travel through all the tourist spots and eat different foods that each area is known for. It would be like a scavenger hunt in that they would need to answer clues in order to figure out their next stop.,"place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
1745,0,High intensity swimming with a set stroke,"place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
369,0,An idea I had for a new sport involves exercise balls,"place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
1681,0,"Something similar to NASCAR, (THIS WOULD BE IN A HUGE STUDIO PLACE) but instead of just racing on the track, you would go through different kinds of detours that would have ""mother nature setbacks"" you would have to go through like harsh rain, avoiding a human made tornado that can flip your car over if you're not able to avoid it, trees falling in front of your car and you have to find ways to go around it, a river comes across you and you need to find the best way to get to the other side and you can't leave your car. You can get out of your car but you have to finish the race with the car. This would last about an hour and 30 mins.","place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
1214,0,"We could create a sport in which the competitors are tested on their ability of strength and aim. They could go through different activities and at the end the points are added up to announce a ""champion."" It could be using shotput, discus, archery, etc.","place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
373,0,A new sport could involve the use of bikes and foam balls.,"place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
1753,0,boxing at high intensity for a high loss of calories,"place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
1765,0,"Including a large variety/quantity of different kinds of weights for each exercise. Strap-on weights on the arms and/or legs, making it even more difficult to move the limbs, leading to increased strength training. Timed exercises for each group of people, increasing the competition within individuals","place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
1774,0,this is a great cardio exercise especially since you wouldn't be focusing at one point it would be different at different times. Which will make the player to pay more attention to see where the player would need to score.,"place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
1666,0,"the competitors could be judged by a panel of judges who give ratings based on creativity, ability, and speed","place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
1663,0,"the maze would have things you can jump over, climb on ect, a parcore feel","place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
1234,0,"With the extreme four square, we could even incorporate something extreme on the outside of the four squares. Such as a pool full of water or mud trenches. It would just give the competitors motivation to stay in the game because if they get out they would have to trudge through the mud or swim through the water.","place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
1654,0,"Running while hitting targets with a bow and arrow, quick precision and athleticism and it would be like how people used to hunt their food except now it's a sport and it's not as serious, but definitely would test people's concentration and coordination.","place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
1237,0,We could have a sport that is kind of like power lifting maybe? Where it is tested out to see which competitors have the most strength. Maybe other strength test could be valued in as well such as seeing how many pull ups or push ups the competitor could complete. For leg strength they could do squats. Abdominal strength should also be incorporated using the hyper-extension machine maybe even doing old fashioned sit ups,"place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
429,0,Possibly a exercise for military/special operations,"place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
2856,0,"It would be cool if you could add a piont system for a compettion of the most spirted or pretty car. You could add themes of the games like holidays and decorate the cars to the certain time of the year. Also it could be timed and have quarters like football. A certain field or track would be cool, like a moto cross track, with hills and obsitcles and turns. Also you create certain ages and sexes and group tournaments.  Adding different types of balls could work to such as footballs, basketballs, tennis balls, smaller footballs, and volleyballs. and that would create a different type to through it in or spike or hit with a tennis raqet.","place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
214,0,"I really enjoy games like hide and go seek and I also believe that a sport doesnt just have to involve working out your body but it can also involve working out the brain. Therefore, the sport that I would like to create would incorporate the physical aspect and mental aspect. My ideal setting for my sport to be played would be in a very jungle type atmosphere, or simply a traditional forest or are with many trees. The overalll idea of my sport would be to go into this forest like area, individually, but are assigned to a group that they will have to figure out who they are as they go. There will be stations that have some kind of physical component to it (almost like obstacle coarse components that the army uses to train) or a mentally challenging activity. The individual will have to complete the physical task and once it is complete the person will have a card with a clue on it that will either lead them to the next task or give then a hint who is on their team. The first team that accumulated their team and then works together to get to the finish line wins.","place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
1630,0,create as many tournaments as we can to bring the new sports to the community.,"place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
222,0,"2. adding the hide and sick idea, using your brain to figure out courses. Incorporating math games, here and there, also,","place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
223,0,"3. go to a forest, (survival game), figuring out pathways by using clues here and there","place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
450,0,"Musical instrument play-off: Those who can play a musical instrument and have achieved some level of skill can sign up to go in a freestyling tournament against other musicians. You are only allowed to use instruments that you have some level of skill with and there are no vocals. The crowd or panel of judges will decide who did the best job with the time they ""freestyled"" and improvised a piece of music.","place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
1501,0,Setting: gymnasium- type setting,"place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
449,0,Why not use yellow card/red card foul system from soccer?,"place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
1642,0,You can only use spray paint and you are assigned a wall of an old building to help you get inspiration,"place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
1643,0,Without natural sources to see which player can have the best curls,"place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
233,0,"let's say Christmas, (say it asian way), has 5 syllables, say each syllable with a accent,","place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
234,0,"so say Ch with a accent, then ris with an accent, then st , then ma, then as, all differenet types","place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
2830,0,"my idea for a new sport would have to with a scavenger hunt / obsticele coarse/ maze.There would be a set up hard obstivle coarse/ maze that is eathier inside or outside but it is pretty big and it is constited up blow up objects, running crawling climbing and other stranious activties. while you are in this absticle coarse there wpuld be hidden objects within the coarse while you are running, jumping, climbing and finding your way through the maze.  at the begging you are timed from take off like Track, adn given a bag to store the objects you collected. These hidden objects will be noted what they are before you enter the obsticle coarse,but it will not tell you exactly what it is only clues that the objects would be in the catogaorie. Such as a certain color, meaning, type or a group it belongs to. there would be other objects that are not in that certain catorgie that you are given in the clues. they are also hidden well under and benaeth stuff. The obsticle coarse will also have little hidden clue and riddles taped or written on the obsitcile coarse to lead you to the objects and what catagorie the belong in. In the coarse there will be rooms that are dark, bright, different atmospheres, colors types of floors to make it harder to find and go through.Also, there will be a different sports inside the obsticle coarse rooms that you have to play for a certain time or reach a certain goal that you are given when you enter. Such sports inside the rooms will be basketball, track and field events, tennis, soccer golf swimming and other stranious activties. At the very end of the obsticle coarse it times you to see how fast you went throough the whole maze and coarse, what extra pionts you earned for the sports and how many objects you attained.","place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
2597,0,A game that involves learning a new skill rather than repetitively exercising an existing one,"place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
1098,0,"Creating some sort of technology. Five electrical engineer are placed in a room and is told to build something. What they have is a circuit board, ohm resisters, wires, LEDs, batteries, monitors, voltage monitors, soldiering iron, speakers, and a heat gun. Having these tools at their expense, the first person to build a siren that flashes the LED wins. They're not told what they're suppose to build.","place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
904,0,could be played outside in a place where it is easy to hide a person like a backyard with lots of trees or something! and the person being held captive is not allowed to make noises so as to give away their position.,"place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
1186,0,Extreme keyboard typing...You would have a paragraph that would be projected above the competing typers on a screen and there would be some type of supervisor that would say when to begin. Whoever types the paragraph the fastest and the most accurate wins.,"place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
2050,0,What if there were trick clues that lead them to the wrong spot and they would have to figure out whether the clues were a trick or not.,"place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
837,0,foam pit or really thick yoga mat to play on? Or egg carton bed toppers? If the ball is small how do you retrieve it from the opponent? Tackle and turn over?,"place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
3059,0,"hang-gliding (judged on finesse, beauty and height)","place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
2246,0,"on the monkey bars, maybe put oil on some of them. Put obstacles while climbing thru the monkey bars so that it would be harder for the players to achieve to the goal.","place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
3072,0,can be judge on increasing strength of the finger under different tests and on the dexterity of the fingers.,"place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
2217,0,"This sport requires two teams. A tracker is put on a cheetah or a wild animal that is really quick and fast. The team who catches the animal first wins, but they will need the skill to track the animal down.","place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
1487,0,the runner obviously has to have a head start on the tiger & there should be obstacles in the way so that the runner can evade tiger.,"place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
736,0,"maybe make the playing field into an obstacle course to make it more difficult. pads could be applied if wanting a more aggressive game rather than flag football type of game. There can be all types of obstacles such as climbing and making it a two story game, like laser tag, or crawling army style. this meets the ""sport"" criteria in that it is a physical activity that involves skill and one team against the other.","place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
867,0,Behind said players are large cylindrical containers about 3 feet tall with 3 feet in diameter. These cups are arranged in a pyramid scheme is 4 in the back 3 in front of that and 2 in front of that and 1 in the very front. Like so:,"place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
2123,0,extreme playground-like obstacle course in which players can only climb on the outside parts of the equipment,"place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
2122,0,Both individuals will race to the bottom of a pool to find all letters that spell out that answer and bring them to the judge waiting at the top to see if the individual correctly spelled out the word in the correct order.,"place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
27,0,"what about having school or university compete in whose smarter. Or something like that with math, reading, history, psychology, science and with that you have to run to different places like math has its own tent and reading and history and so on. You would have to run to the tents and solve the problem.","place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
1481,0,"You could increase the dollar to one hundred dollars, and have like 15 people climbing the tree at once. That would make things interesting.","place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
853,0,So using both mental strength and physical strength to win,"place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
