Line_Number,Dominant_Topic_Number,Sentences,Keywords_In_Dominant_Topic
1677,0,Hospitals should have better managers and more training available.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1241,0,Along with all the mental disorders as well.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
343,0,"Almost everyone has iphone or ipads or technology of some sort. They could use these technologies to help them have a healthy lifestyle. For example, they could download the apps in their phones which provide their BMI check up or weight check up for free. This could really help many from less hospitals visits.","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
692,0,Provide latest technology for lower prices to more hospitals.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
693,0,Increase funding for more health research.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
340,0,"I think this is a great idea, we will be saving trees and patients.","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
694,0,Increase social awareness about mental health.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
338,0,People would not feel secure if someone who graduated online is treating them.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
695,0,Increase funding for research about mental health,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
336,0,Create an app for emergency rooms and other medical facilities that allow patients to check in and fill out all the usual paperwork digitally. This would cut down on paper costs and potentially make the check in process at hospitals more efficient. Perhaps include features like estimated wait time or allow the patient to see the number of people waiting ahead of them.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1240,0,who pays for the patients in the mental institutions? themselves? Us or is the government paying to keep them secure?,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
701,0,Allow zombie apocalypse to occur so then a good amount of the population no longer needs healthcare.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1242,0,"The patients whom are in commas on life support, can not pay for there care, but its up to there love ones and when they cant pay, what happens to them. the doctors have little clue when or if they will ever wake up. and a lot of times some give up hope and pull the plug.","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1237,0,"I agree with that , but I would better if it wasn't limited for cancer only but other diseases such HIV , AIDS , etc...","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1642,0,Yes we do. I know of someone that had given false information because she really needed to go to the hospital and she didn't have papers. Maybe we should think of a better way to check information because someone has to pay for those costs.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1234,0,"It is 2013, and we're still being told in the Diagnosis Centers, ""we don't know what is wrong"". More money needs to be allotted to health research, because there are more than a few industries that could use a cut.","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
325,0,The workers of the hospitals should be friendly and reliable because many of them dont smile and it does really hurt the reputation of the hospitals.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
322,0,even if they build hospitals and clinics it will be no use if people cant afford to go.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
321,0,The waiting is too long for emergency care. May be they should start improving with the emergency unit first.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1644,0,Maybe more free clinics? Cause I know that they can get really packed and maybe people don't want to wait and maybe that's how emergency rooms get over crowded and we have to wait a while.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
319,0,Find a way to increase money funds so that the hospitals can use them in order to promote better care.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
