Line_Number,Dominant_Topic_Number,Sentences,Keywords_In_Dominant_Topic
171,0,"Maybe if we start with educating the kids in schools then getting the parents involved that do not know the difference, so by the time the kids are adults they will hopefully be able to teach their kids the difference between the two","school, healthy, food, class, student, job, teach, state, high_school, emergency"
138,0,Maybe starting when kids are in middle school and having not just a powerpoint lesson but instead a discussion on what could be done and how to prevent health risk and becoming pregnant at a young age,"school, healthy, food, class, student, job, teach, state, high_school, emergency"
1181,0,"There should also be some activities that aren't sport based. Not all students have the time to dedicate themselves to too many things so maybe something like a P.E. class with a certain emphasis can be created. For example, a swimming class but necessarily doing things as part of a team like a water aerobics class.","school, healthy, food, class, student, job, teach, state, high_school, emergency"
1182,0,"Healthier foods should be enforced in restaurants, especially fast food. Even though most establish a low calorie menu, it still is not necessarily good to eat. So I think there should be a bigger push in that direction to help health","school, healthy, food, class, student, job, teach, state, high_school, emergency"
1183,0,"Agreed. There should be more than one healthy option at each fast food restaurant. Or maybe, there should be a fast food chain dedicated directly to healthier option like Snappy Salads.","school, healthy, food, class, student, job, teach, state, high_school, emergency"
777,0,"Stop telling people to use mouthwash, all it does is make your mouth burn. It does not clean teeth, nor does it make your breath smell good for more than a hour. Just brush your teeth and floss, that's all you need.","school, healthy, food, class, student, job, teach, state, high_school, emergency"
437,0,schools should have some type of first aid and educational session for students,"school, healthy, food, class, student, job, teach, state, high_school, emergency"
1184,0,"Agreed. A lot of students would much rather eat a bag of chips and a coke for lunch than eat the cafeteria food being served to the rest of the student body because the food is not remotely healthy. Healthier options should be given instead of cheesy, greasy foods.","school, healthy, food, class, student, job, teach, state, high_school, emergency"
1379,0,"School lunches have improved dramatically. There used to be chips, sodas, and jello. I'm not saying the food is perfect now, but there could be more salads and a wider variety of fruit to be thrown in.","school, healthy, food, class, student, job, teach, state, high_school, emergency"
1185,0,All school levels should require PE for every year of school from elementary until high school. Those playing sports could take another class separate from the rest of the students to practice on that sport and not intimidate those who are not equally as well.,"school, healthy, food, class, student, job, teach, state, high_school, emergency"
1180,0,"School districts need to learn how to budget. In most cases, other programs get greater funding. Like in some schools, more money might go towards the football department instead of the math department. They need to figure out what is more beneficial for the majority of students and budget around that.","school, healthy, food, class, student, job, teach, state, high_school, emergency"
1378,0,If a child is considered obese to due the fitness gram there should be a bigger input from the school to allow a lifestyle change. maybe a one on one with the parent and changing eating habits and exercise routines.,"school, healthy, food, class, student, job, teach, state, high_school, emergency"
1376,0,"There are already fitness grams at school to determine whether or not a child is considered obese, but instead of one a school year the school should follow up with a couple more times to see improvement.","school, healthy, food, class, student, job, teach, state, high_school, emergency"
157,0,"A lot of the times, guidance counselors are not in touch with the girls at school about anything. Students need someone who will talk to them openly about safe sex, birth control, etc. Make the topic an open discussion and a not a taboo subject that is discussed only after the girl gets pregnant.","school, healthy, food, class, student, job, teach, state, high_school, emergency"
581,0,Education programs should more state linked than diverse from state to state.,"school, healthy, food, class, student, job, teach, state, high_school, emergency"
445,0,"i love this, but multiple states of all sizes and types to eliminate bias","school, healthy, food, class, student, job, teach, state, high_school, emergency"
447,0,loosen restrictions on certain over-the-counter drugs,"school, healthy, food, class, student, job, teach, state, high_school, emergency"
1012,0,Nursing-intended students and physician-intended student go to school for a very long time to achieve a degree. Classes for them should be less-expensive.,"school, healthy, food, class, student, job, teach, state, high_school, emergency"
169,0,Maybe in each school district have a school that provides daycare and while the teen is still in school.,"school, healthy, food, class, student, job, teach, state, high_school, emergency"
170,0,Also have a guidance counselors for boys so they will know how to practice safe sex if chooses and let them be aware that sleeping with multiple partners could lead to risk of STDs and other things,"school, healthy, food, class, student, job, teach, state, high_school, emergency"
1845,0,make the class a state requirement,"school, healthy, food, class, student, job, teach, state, high_school, emergency"
782,0,"Start injecting a substance that turns bone into metal, yet still has the same effect as normal bones. That way, impossible to break your bone.","school, healthy, food, class, student, job, teach, state, high_school, emergency"
796,0,"Lets try to get ourselves into a good shape. Eating healthy, going to the gym, outdoor sports. If the government can put some camps up throughout the year; it would be helpful.","school, healthy, food, class, student, job, teach, state, high_school, emergency"
1027,0,Very true. Students need to learn early so that they can build up their ideas and their opinions for when they can have a choice.,"school, healthy, food, class, student, job, teach, state, high_school, emergency"
875,0,"everyone should be able to maintain a healthy diet so that they will not risk heart disease, obesity, high blood pressure, etc.","school, healthy, food, class, student, job, teach, state, high_school, emergency"
