Line_Number,Dominant_Topic_Number,Percentage_Contribution,Keywords_In_Dominant_Topic,Sentences
1058,0,18.97 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","Healthcare providers should be given, without request, a day or so off to take a break from the work environment. The reason I say they should be given is b/c some HC providers will probably deny to take a day off. Sometimes, that is all a person needs in order to get back on track."
706,0,22.22 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",Provide better healthcare for veterans with PTSD.
1754,0,22.02 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",Having medicaid and chips still isnt decently cheap or at a good price.
266,0,22.6 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","If we cannot have a universal healthcare system like Canada or other countries, then we should make healthcare affordable to all citizens."
1755,0,29.31 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","A government watch on the healthcare system would be nice. I don't belive that their is an actuall government entity that looks over healthcare in general. I know the FDA does oversee it somewhat, but i believe that section is the only part where government can't step in, just in case it goes south, or they're doing something illegal."
264,0,22.42 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",The U.S healthcare system should be like Canada's healthcare system.
263,0,22.94 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",Learning about the healthcare system at an early age could enable students to think of new ideas in order to improve the system in the future.
711,0,20.53 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",Legalize medical marijuana in all states. The only reason it's illegal was because of racism 20-30 years ago.
271,0,19.63 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",Using the prototype healthcare of another county could help the US with the framework of a new healthcare system. Possibly making it better and more efficient all citizens.
714,0,18.79 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","Allow cloning, if I want to have a copy of myself to clean and cook, that's my problem."
1332,0,18.65 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","americans should invest more in their health Yes american people yes, but for those who are not here legaly, they should not"
253,0,26.78 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",Universal healthcare. I think Canada and Denmark have universal healthcare. The US could reform its healthcare system using one or more of these countries as a prototype.
1771,0,25.88 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","Limiting military healthcare. Many people take advantage of the ""free"" healthcare the military offers and go in for the slightest things such as a cough or a bruise, get medication they can buy at a drugstore. Also, some female spouses tend to pop out more babies because of the ""free"" healthcare."
1328,0,20.34 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",The healthcare system can always be improved
