Line_Number,Dominant_Topic_Number,Percentage_Contribution,Keywords_In_Dominant_Topic,Sentences
48,0,27.42 %,"people, disease, illness, afford, issue, thing, make, save, mental, sick","Yes, but not all people are like what you say. As I know there are so many people who are very lazy and dependence, but there are also people who get really sick and serious illness that they can not afford by themselves to pay for the medication as well as other health issues"
15,0,23.73 %,"people, disease, illness, afford, issue, thing, make, save, mental, sick",People with chronic illnesses should seek the medical attention that they need no matter the financial situation.
42,0,22.61 %,"people, disease, illness, afford, issue, thing, make, save, mental, sick",Less immunizations might help people to actually be able to fight off some of these diseases that they are trying to prevent from coming back since new ones are introduced all the time.
26,0,20.86 %,"people, disease, illness, afford, issue, thing, make, save, mental, sick",Exactly. Saving both time and money without wasting the resources that the government has supplied.
27,0,21.43 %,"people, disease, illness, afford, issue, thing, make, save, mental, sick",I agree because it is ultimately up to the woman to decide for herself whether or not to have the baby and the risks that go along with it.
24,1,22.81 %,"doctor, physician, specialist, money, visit, free, medicine, reasonable, check, medicare",I think that people who have mental illnesses should be able to see a doctor or specialist at a reasonable cost
16,1,21.05 %,"doctor, physician, specialist, money, visit, free, medicine, reasonable, check, medicare",All drugs should have a generic brand offered so people won't have to pay so much for the medicines that they need.
30,1,23.16 %,"doctor, physician, specialist, money, visit, free, medicine, reasonable, check, medicare","I think that emergency room visits should be free, if the emergency is one of actual concern. Not an ""emergency"" involving a headache or stomach problems that could be solved with over the counter medication, but rather emergencies involving deep cuts or severe infections."
10,1,23.95 %,"doctor, physician, specialist, money, visit, free, medicine, reasonable, check, medicare",All doctors and physicians should have a small pharmacist that will be convenient for the patient to get their prescriptions refilled.
9,1,22.59 %,"doctor, physician, specialist, money, visit, free, medicine, reasonable, check, medicare",People with chronic illnesses should have specialists with reasonable prices so physicians can monitor their health more efficiently.
7,1,23.76 %,"doctor, physician, specialist, money, visit, free, medicine, reasonable, check, medicare",When prescribed drugs the doctor should have a bar code to scan so you can get them refilled more conveniently when you want to get the prescription filled at the drug store. This way the pharmacist can monitor what drugs you are getting and how much.
34,1,23.21 %,"doctor, physician, specialist, money, visit, free, medicine, reasonable, check, medicare","Maybe they could also get coupons or cards allowing them to get a discounted visit to the doctor, or see a specialist."
44,1,21.54 %,"doctor, physician, specialist, money, visit, free, medicine, reasonable, check, medicare","HIV/AIDS patients should get coupons on their medications and also have an affordable specialized doctor to visit for regular check-ups. Also, they can be used for the process of trying to find a cure for the disease."
46,1,23.56 %,"doctor, physician, specialist, money, visit, free, medicine, reasonable, check, medicare",There should be more pharmacy with a local doctor or physician to conveniently get your medication and check-up at the same time
22,1,27.52 %,"doctor, physician, specialist, money, visit, free, medicine, reasonable, check, medicare","Being able to visit specialists with reasonable prices will also help in the long run--illness could improve or caught early before worsens, and less trips to a physician who could possibly not know what is wrong"
21,1,21.44 %,"doctor, physician, specialist, money, visit, free, medicine, reasonable, check, medicare",Women clinics should be readily available and more awareness to prevent diseases/cancers
32,2,24.31 %,"health, care, system, time, service, insurance, healthcare, family, give, good",I think that every hospital or clinic should offer health care because people can't always get to the specific provider they have listed in their insurance. They could also need serious medical attention and not be able to get it at an affordable price.
