Line_Number,Dominant_Topic_Number,Percentage_Contribution,Keywords_In_Dominant_Topic,Sentences
49,0,94.99 %,"health, care, people, service, healthcare, doctor, patient, insurance, specialist, make","I agree with you, it needs to have more to get the better health service and even though saving time and money."
38,0,22.72 %,"health, care, people, service, healthcare, doctor, patient, insurance, specialist, make",I think the generic should be get off to let the main one reduce in cost
37,0,33.68 %,"health, care, people, service, healthcare, doctor, patient, insurance, specialist, make","i agree because the women needs to be treated fairly as men and other aspects like age, gender, sexuality, education, family background, etc."
11,0,67.63 %,"health, care, people, service, healthcare, doctor, patient, insurance, specialist, make",Physicians need to go to seminars and small courses to stay current on new things in the health world and what type of diseases have been detected lately so that less misdiagnosing occurs.
18,0,68.95 %,"health, care, people, service, healthcare, doctor, patient, insurance, specialist, make",Seeing a dietician or a nutritionist should be free at least once a year so maybe that will cut back on visiting the primary doctor so much because natural health is sufficient and they are less likely to get ill.
36,0,1897.05 %,"health, care, people, service, healthcare, doctor, patient, insurance, specialist, make","The healthcare system must be changed in some features: The healthcare cost must be reduced as much as it is to help the low income or unemployed people or family to afford. OBAMA Care should be forced to bring the best health care services to everybody regardless their ability to pay for the Hospital bill In the education system, the doctors, specialists, or practitioners should be deep educated and good trained as well to give the best service to the patient and their family and I think this part is Okay. In order to save time and money, medical technology should be given and improve to give the best health care service for patients. For example, like we can use the robots instead of doctors to do an surgery, or using new invented radiology scanner to reduce the radio way, UV ray, ultrasound wave, etc. Everybody should be given the equal health care services as the cost should be low like in Canada, or Australia. Insurance, as in Obama Care that all people must obtain it regardless they never get sick. Although it may affect to the health service, but people will have more option in taking care their health more efficiency. Moreover, the education should teach all the doctors, physicians, specialist, nurses, or any people who work in the healthcare that the patient health is the most important than anything else, instead of taking their insurance or making a fast diagnostic. And I am looking for this aspect because as I see, there is not many doctors, physician, specialists, or nurses pay attention to this particular topic. Medicine should be lowered in price as in the generic medication that everybody can afford to buy though they have insurance or not. And this may help people more taking care for their health. Lastly, maintaining a good health is the best way to make we live better and we don't need to get the healthcare services every time we get sick unless we are getting old and need people to take care."
28,0,79.54 %,"health, care, people, service, healthcare, doctor, patient, insurance, specialist, make","Seeing a dietician/nutritionist would also give the person a better picture as to where their health is, and how to improve it, to avoid going to the doctor at all."
5,0,85.39 %,"health, care, people, service, healthcare, doctor, patient, insurance, specialist, make",This will help with people actually staying current on their health.
4,0,29.94 %,"health, care, people, service, healthcare, doctor, patient, insurance, specialist, make",Insurance companies should make the co-payments based upon yearly household income.
47,0,980.63 %,"health, care, people, service, healthcare, doctor, patient, insurance, specialist, make","Another thing, I would like to mention from the previous post, they are: To the Disable people, HIV/AIDS patients, etc. serious diseases, they must to be treated fairly and appropriate to the normal people, or may be better than those because they are even weaker and depress for along time may be the whole life even with mental, physical, or social health. To the LGBT community, they also needs to be treated equally to other people regardless race, age, background, etc. And this is the task of the health care providers who are responsible in providing them the best quality health service. People who is in the Nursing home would be suffered so many problems and can't get away from aging, so they need to have a good care even about mental, physical, and social health treatment to make them enjoy the rest of life. It should be more health care show or programs as many health issue commercials to everyone to make an announcement or warning about any thing related to health like overdosing, street drug, eating habitat, passive life style, unhealthy behaviors,smoking, drinking, STDs, HIV thread, etc. There are now many and many case of rape related in the healthcare system, so it needs to pass a law or some restriction rules to reduce this issue as guaranteed the good working environment to all healthcare employees."
