Line_Number,Dominant_Topic_Number,Percentage_Contribution,Keywords_In_Dominant_Topic,Sentences
0,0,205.08 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system",The health care system should finance more money the people who are less healthy and ill or have some sort of disease and not as much to the people who are regularly healthy
1,0,1.25 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system",with the exception of the elderly and the youth
2,0,77.82 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system","Every health insurance in America should provide 2 to 3 free clinical check ups for a family of 3 or more, and 1 to 2 for single households."
3,0,62.43 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system",medicare/medicaid should be equal people of all income but at the same time affordable
4,0,49.94 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system",Insurance companies should make the co-payments based upon yearly household income.
5,0,85.72 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system",This will help with people actually staying current on their health.
6,2,53.8 %,"pay, healthcare, doctor, insurance, system, people, patient, education, hospital, cost","Medicare/Medicaid should get a ""flex card"" with so much money on it yearly so that will be able to pay for at least their prescriptions."
7,3,49.78 %,"doctor, patient, not, pay, healthcare, people, do, insurance, system, time",When prescribed drugs the doctor should have a bar code to scan so you can get them refilled more conveniently when you want to get the prescription filled at the drug store. This way the pharmacist can monitor what drugs you are getting and how much.
8,0,70.15 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system",Physicians should evaluate and give tips to people who say they are having problems with certain issues before just automatically diagnose them with some disease that causes them to have to take medicine that they can become dependent on and start to abuse.
9,0,93.15 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system",People with chronic illnesses should have specialists with reasonable prices so physicians can monitor their health more efficiently.
10,3,90.48 %,"doctor, patient, not, pay, healthcare, people, do, insurance, system, time",All doctors and physicians should have a small pharmacist that will be convenient for the patient to get their prescriptions refilled.
11,1,56.06 %,"health, care, healthcare, not, pay, doctor, do, people, money, make",Physicians need to go to seminars and small courses to stay current on new things in the health world and what type of diseases have been detected lately so that less misdiagnosing occurs.
12,2,51.77 %,"pay, healthcare, doctor, insurance, system, people, patient, education, hospital, cost",Emergency room visits should be less expensive. And pharmacies should have a small in and out clinics with reasonable prices for emergencies less severe than hospital attention for anyone with or without insurance.
13,0,18.02 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system",Nursing homes should be covered by Medicare since some elderly do not have family that can afford it but need their loved ones to be monitored.
14,0,111.19 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system",The government could pull out all money going into the healthcare system and the country would just have to build itself back up by people helping each other out.
15,0,58.98 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system",People with chronic illnesses should seek the medical attention that they need no matter the financial situation.
16,0,101.19 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system",All drugs should have a generic brand offered so people won't have to pay so much for the medicines that they need.
17,0,43.44 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system",Birth control should be free so that pregnancies will decrease and Medicaid won't have to provide for that person and the unborn child as well.
18,0,66.87 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system",Seeing a dietician or a nutritionist should be free at least once a year so maybe that will cut back on visiting the primary doctor so much because natural health is sufficient and they are less likely to get ill.
19,0,74.27 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system",There should be a universal healthcare system. Insurance companies are a big problem today
20,3,53.25 %,"doctor, patient, not, pay, healthcare, people, do, insurance, system, time",Physicians misdiagnosing patients is happening more often. The physicians should be evaluated regulary so it reduces the risk
21,0,6.57 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system",Women clinics should be readily available and more awareness to prevent diseases/cancers
22,0,16.68 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system","Being able to visit specialists with reasonable prices will also help in the long run--illness could improve or caught early before worsens, and less trips to a physician who could possibly not know what is wrong"
23,0,57.01 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system",Physicians should pay attention more to figuring out the cause of a particular problem rather than prescribing drugs to alleviate symptoms--more money gone to drugs and illness not cured
24,0,79.55 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system",I think that people who have mental illnesses should be able to see a doctor or specialist at a reasonable cost
25,0,21.17 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system","True, because sometimes money for drugs could result in substance abuse for certain cases."
26,0,37.76 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system",Exactly. Saving both time and money without wasting the resources that the government has supplied.
27,0,6.44 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system",I agree because it is ultimately up to the woman to decide for herself whether or not to have the baby and the risks that go along with it.
28,0,65.9 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system","Seeing a dietician/nutritionist would also give the person a better picture as to where their health is, and how to improve it, to avoid going to the doctor at all."
29,2,35.48 %,"pay, healthcare, doctor, insurance, system, people, patient, education, hospital, cost","I agree, but I feel that for those unemployed or have no intention of getting a job may have an issue paying it."
30,0,34.7 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system","I think that emergency room visits should be free, if the emergency is one of actual concern. Not an ""emergency"" involving a headache or stomach problems that could be solved with over the counter medication, but rather emergencies involving deep cuts or severe infections."
31,0,111.46 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system","I agree, because doing so would make the system more efficient without sending people away who actually need it. Also, you could get a better tab on how much of the substance is being used, and the doctor can tell if the patient is abusing the substance or not."
32,0,165.45 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system",I think that every hospital or clinic should offer health care because people can't always get to the specific provider they have listed in their insurance. They could also need serious medical attention and not be able to get it at an affordable price.
33,0,1.61 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system","Also, the mentally ill/disabled"
34,3,50.73 %,"doctor, patient, not, pay, healthcare, people, do, insurance, system, time","Maybe they could also get coupons or cards allowing them to get a discounted visit to the doctor, or see a specialist."
35,0,91.07 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system","True, so they won't be wasting money on false diagnoses. This would also make the system more reliable to the public, knowing that doctors have to stay current with the diseases and their symptoms."
36,0,1578.22 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system","The healthcare system must be changed in some features: The healthcare cost must be reduced as much as it is to help the low income or unemployed people or family to afford. OBAMA Care should be forced to bring the best health care services to everybody regardless their ability to pay for the Hospital bill In the education system, the doctors, specialists, or practitioners should be deep educated and good trained as well to give the best service to the patient and their family and I think this part is Okay. In order to save time and money, medical technology should be given and improve to give the best health care service for patients. For example, like we can use the robots instead of doctors to do an surgery, or using new invented radiology scanner to reduce the radio way, UV ray, ultrasound wave, etc. Everybody should be given the equal health care services as the cost should be low like in Canada, or Australia. Insurance, as in Obama Care that all people must obtain it regardless they never get sick. Although it may affect to the health service, but people will have more option in taking care their health more efficiency. Moreover, the education should teach all the doctors, physicians, specialist, nurses, or any people who work in the healthcare that the patient health is the most important than anything else, instead of taking their insurance or making a fast diagnostic. And I am looking for this aspect because as I see, there is not many doctors, physician, specialists, or nurses pay attention to this particular topic. Medicine should be lowered in price as in the generic medication that everybody can afford to buy though they have insurance or not. And this may help people more taking care for their health. Lastly, maintaining a good health is the best way to make we live better and we don't need to get the healthcare services every time we get sick unless we are getting old and need people to take care."
37,0,22.84 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system","i agree because the women needs to be treated fairly as men and other aspects like age, gender, sexuality, education, family background, etc."
38,3,18.33 %,"doctor, patient, not, pay, healthcare, people, do, insurance, system, time",I think the generic should be get off to let the main one reduce in cost
39,0,79.42 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system",This would reduce the cost of the prescribed drug then people would be able to afford it as well as have the oppurtunity to actually buy the medication that they need to take on a regular basis.
40,0,67.63 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system",More clinics similar to Care-Now should be open but they should have family medicine doctors there so that misdiagnosing will be less likely to occur and the prescribing of drugs will be less likely to happen
41,3,131.44 %,"doctor, patient, not, pay, healthcare, people, do, insurance, system, time",Physicians should be monitored on what and how much they are prescribing to their patients because this may crack down on them getting certain drugs for promotional purposes and receiving things from the drug companies that they would normally not get if they were not prescribing these drugs. It is all about the money in these cases so some doctors really are not considered with their patients health.
42,0,61.47 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system",Less immunizations might help people to actually be able to fight off some of these diseases that they are trying to prevent from coming back since new ones are introduced all the time.
43,5,6.61 %,"system, healthcare, insurance, pay, time, care, health, fix, call, emergency",More studies should go into looking at the patterns and trends of certain outbreaks globally and try to figure out a way to prevent them from continuously spreading.
