Line_Number,Dominant_Topic_Number,Sentences,Keywords_In_Dominant_Topic
2419,0,"Good idea, but I'm going to add an effect for the egg and tomato. I would say that tomatos would force them back into their base and eggs would freeze the person for 3 seconds. Any flag carrier hit with a tomato must drop the flag where it is. The dropped flag can be carried by the opposing team back to their base to score a point, or the defending team can carry it back to their base.","point, must, field, flag, end, oppose, target, place, different, new"
316,0,a new race or event for track and field,"point, must, field, flag, end, oppose, target, place, different, new"
2473,0,"C.T.T. (Capture the Target): Like many sports, this will be a Team Sport. Teams will consist of 5 people. This sport will be ""Secret-Agent"" based. Two teams compete to see who can capture the ""Target"" (which would be a random person) first. The target knows what is going on and is specially trained in evading dangerous situations like, being ""captured"". Teams will need to be crafty, creative, diligent, intelligently, and physically capable of capturing their target. Close-quarter combat training would be needed to play this sport, but must be safely played. Must wear protective wear at all times and if your target falls to the ground then no more combat is allowed. If target falls to the ground they are basically incapable of making anymore moves and the capturing team would then call ""Win"" to notify everyone playing of the capture. However, if you happen to fall to the ground, then YOU are eliminated from the game and leave your team with however many are left.","point, must, field, flag, end, oppose, target, place, different, new"
164,0,Have goalies on the end. stationery to the opposing ends of the rink,"point, must, field, flag, end, oppose, target, place, different, new"
1283,0,"Maybe something similar to ice skating + flag football. Have about 8 members on each team with a sash around their waist. Their ""field"" will be an ice skating rink with about 3 ""goals""/hoops at either end of the rink at different heights. Maybe a really tall one at about 13 ft high, another at 10 ft and another at 8ft. The goal to get a ball (I'm imagining something like a dodge ball) and throw it through one of hoops. The hoops will have different amounts of points, such as 3 for the highest one, 2 for the medium, and 1 for the shortest. There is no goalie, just a defense and offense position. If a player's sash is torn off, the player must throw the ball straight in the air for a free for all take, and the play has to put his sash back on right after to continue in the game. No tackling, or wrestling to prevent injuries, and a violation will result in their team member having to ""freeze"" and stay in the same spot for for about 5 seconds.","point, must, field, flag, end, oppose, target, place, different, new"
92,0,"Since in harry potter they have hoops to hit the quidditch through, maybe we can have hoops as well with different sizes. The smaller the hoop, the more points you get. Maybe have 3-4 different sizes that are spread out through the field or maybe have all of them back to back in one scoring area","point, must, field, flag, end, oppose, target, place, different, new"
1835,0,"I think that this sport is creative, kind of reminds me of capture the flag form when I was younger. But I do like the idea of using the ball, and placing it is random places on the field. 80%","point, must, field, flag, end, oppose, target, place, different, new"
1831,0,"their objective is to shoot the ball in one of three hoops which each hoop is a different amount of points, making the one worth more points harder to achieve.","point, must, field, flag, end, oppose, target, place, different, new"
850,0,"Fancy indoor arena or open outdoors arena? If the loner gets 15 points before being found, (or X amt of points), the counting gets longer, ie, 12 or 15 seconds.","point, must, field, flag, end, oppose, target, place, different, new"
2031,0,Catching something in mud. Participants will catch marbles in mud. They are in two teams playing against each other. The field will be the size of a volleyball court.,"point, must, field, flag, end, oppose, target, place, different, new"
2033,0,Cliff jumping to find a ring. Participants must pass physical tests to determine their swimming abilities. The ring will be on a stand so that it wont fall completely to the bottom of the place where they are practicing the sport.,"point, must, field, flag, end, oppose, target, place, different, new"
846,0,Are the walls next to each other? One or two of the team mates should be able to protect your wall somehow.,"point, must, field, flag, end, oppose, target, place, different, new"
923,0,Participants will break into two equal teams and then have thirty minutes to construct a snow fort. After the thirty minutes are up flags will be placed at each fort and participants will have to capture the opposing teams flag. If a participant is hit by a member of the opposing team with a snowball they will have to return to their group's fort.,"point, must, field, flag, end, oppose, target, place, different, new"
2903,0,"There could be an underwater obstacle that the swimmers have to go through to make the target more difficult to retrieve. The two players are allowed to make each others' obstacles harder and can set booby traps. Whatever the booby traps are can depend on how many extra points they get.Once they retrieve the target, instead of throwing the target into a hoop, they can use that target to pin up on a flat surface, like a wall, and have a bow and 3 arrows to shoot with. The player who is closest to the middle of the target gets more points, and the more points a player has, the better the chance to win.","point, must, field, flag, end, oppose, target, place, different, new"
2259,0,"on the monkey bars, maybe put oil on some of them. Put obstacles while climbing thru the monkey bars so that it would be harder for the players to achieve to the goal.","point, must, field, flag, end, oppose, target, place, different, new"
2609,0,"There could be like extra point options such as if you can rock climb the wall in under a certain amount of seconds, you get a point or if you can run to the other side of the field without having your flag pulled then you get two points, or something like that. Sort of like the extra field goal kick or two point conversion but with a different twist put on it! Also, I think it would need to be made very obvious as to who on each team is wearing the flag.","point, must, field, flag, end, oppose, target, place, different, new"
2305,0,Capture the flag while on a rock climbing wall. The object is to steal the other team's flag and to climp to the top and hang it on a pole to declare your team the winners.,"point, must, field, flag, end, oppose, target, place, different, new"
174,0,"there obstacles throughout the race such as a going through hoops of all different sizes along the path, ramps for jumps and trick points and puddles of both water and mud","point, must, field, flag, end, oppose, target, place, different, new"
2622,0,The same rules for the soccer ball would still apply (no hands unless the goalie) and there would also be a separate goalie for the basketball hoop. The hoop would be worth more points because it is a much harder task to accomplish (3 points).,"point, must, field, flag, end, oppose, target, place, different, new"
1329,0,%Two teams will each work together to form a large painting on a rock climbing wall and paint using colored acrylics.  The team with the best painting completed in thirty minute wins!%,"point, must, field, flag, end, oppose, target, place, different, new"
2394,0,"['Combines the rules of soccer and basketball. In order to score, participants in each team must dunk the ball on an 8-foot hoop. However, outside of dunks, teams must maneuver the ball using their feet. They must use a lob pass to get the ball in the air to have someone dunk it. One dunk equals one point. Judges are there for style points. Style points on each dunk will give bonus points. If anyone can jump high enough to use a bicycle kick to ""dunk"" the ball in the hoop, then it is worth 3 points.']","point, must, field, flag, end, oppose, target, place, different, new"
1798,0,Taclking or slowing someones motion down significantly would cause the ball to be reset back in the original position,"point, must, field, flag, end, oppose, target, place, different, new"
1795,0,Make a sport where you had to retrieve a ball from a certain point and bring it back to your side of the field like in capture the flag,"point, must, field, flag, end, oppose, target, place, different, new"
2794,0,"Instead of having a rectangular field for football. Make the playing field and odd shape, such as a circle, octagon, triangle. Anything that will cause the field to be odd and out of the ordinary for the players.","point, must, field, flag, end, oppose, target, place, different, new"
1343,0,"%The rock climbing wall can be the ""canvas"" of the painting.  Players should have ten minutes in the beginning to plan out their drawing and the last twenty minutes, start climbing different areas to complete the painting.%","point, must, field, flag, end, oppose, target, place, different, new"
