Line_Number,Dominant_Topic_Number,Sentences,Keywords_In_Dominant_Topic
0,2,a sport similar to soccer but only the use of hands instead of feet,"team, ball, player, game, get, point, hit, member, goal, throw"
1,2,A goal is to get a ball through a hoop similar to basketball but instead of dribbling the ball you would have to pass the ball to your teammates using the same technique as volleyball. Once you past an area near the hoop you can only stay in that particular spot and have to shoot the ball in the hoop.,"team, ball, player, game, get, point, hit, member, goal, throw"
2,2,using a ball you have to hit down a certain number of pins like bowling. instead of rolling the ball you have to hit the ball with a bat.,"team, ball, player, game, get, point, hit, member, goal, throw"
3,2,"A sport where there is two different courts, and where relay or tagging is added. On one court certain team members have to accomplish something or some kind of points, and then tag the person on the next court to get the next or same accomplishment done. Both teams have to finish going back and forth a certain amount of times and the first team done wins the game, and winning the majority number of games out of 5 wins the entire game. On one court there can be two basketball baskets and two football targets. The player has to score in each to run to the other side of the court and tag the next team member so they can begin to do the same thing.","team, ball, player, game, get, point, hit, member, goal, throw"
4,2,"A swimming sport where the ball is thrown but with relay added. Two people in a pool have baskets on each side. Like one on one basketball, they both try to get to 2 points, then they tag the next person on their team. Team members can't switch until they have gotten their two points in. The first team to 20 points wins.","team, ball, player, game, get, point, hit, member, goal, throw"
5,2,"Two teams and obstacles. One team is on the offensive, and the other team is on the defensive. Going through obstacles, the offensive team has a ball while the other team is trying to take the ball from them. The obstacles can be swimming through a pool, crawling under wire, or climbing. The team has to keep the ball and they can pass it to each other as the defensive team is trying to take it from them. The offensive is trying to reach a goal. Once the ball gets taken, the defensive team now starts as the offensive team at the beginning of the obstacle. There is a time limit on how long a team can take while trying to reach the other side. There can not be more than two people trying to take the ball from one person.","team, ball, player, game, get, point, hit, member, goal, throw"
6,2,"Wrestling in a pool. While treading water two opponents wrestle in a shallow pool and are trying to push each other out of bounds. The bounds can be marked by nets or lines at the bottom of a pool. Pushing faces down into the water is not allowed, or any kind of pulling underwater. The opponents are trying to mainly push each other towards the out of bounds marks, and they can do this in a wrestling style by getting the other opponent in a locked position and in this way pushing them out of bounds. Going underwater is allowed, but a team member cannot be underwater for more than 5 seconds. Pushing underwater is allowed.","team, ball, player, game, get, point, hit, member, goal, throw"
7,2,"Combination between tennis, volleyball, foot ball and soccer:","team, ball, player, game, get, point, hit, member, goal, throw"
8,2,Object of the game: Get the volleyball to the other side of the field and into the goal without said volleyball touching the ground.,"team, ball, player, game, get, point, hit, member, goal, throw"
9,2,"Rules: Players will carry rackets and use them to keep the volleyball from hitting the ground. Players can only bounce volleyball on the racket. If the volleyball touches the ground, the other team gets possession of the ball. If the ball goes out of bounds, the other team gets possession of the ball.","team, ball, player, game, get, point, hit, member, goal, throw"
